starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 06 15:39:15 2015	1444160355	5	9	13	9
Tue Oct 06 15:39:14 2015	1444160354	6	8	14	8
Tue Oct 06 15:39:15 2015	1444160355	5	9	14	9
Tue Oct 06 15:39:15 2015	1444160355	6	8	14	8
Tue Oct 06 15:39:14 2015	1444160354	6	8	14	8
Tue Oct 06 15:39:14 2015	1444160354	6	8	14	8
Tue Oct 06 15:39:14 2015	1444160354	7	8	14	8
Tue Oct 06 15:39:14 2015	1444160354	6	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	6	9	15	8
Tue Oct 06 15:39:14 2015	1444160354	6	9	15	9
Tue Oct 06 15:39:14 2015	1444160354	6	9	15	9
Tue Oct 06 15:39:14 2015	1444160354	5	10	15	10
Tue Oct 06 15:39:15 2015	1444160355	6	9	15	9
Tue Oct 06 15:39:14 2015	1444160354	8	7	15	7
Tue Oct 06 15:39:15 2015	1444160355	6	9	15	9
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	5	10	15	10
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	8	7	15	7
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	6	9	15	9
Tue Oct 06 15:39:14 2015	1444160354	5	11	15	10
Tue Oct 06 15:39:14 2015	1444160354	5	11	15	10
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:15 2015	1444160355	8	8	15	7
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:15 2015	1444160355	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	15	9
Tue Oct 06 15:39:15 2015	1444160355	5	10	15	10
Tue Oct 06 15:39:14 2015	1444160354	7	8	15	8
Tue Oct 06 15:39:14 2015	1444160354	5	11	15	11
Tue Oct 06 15:39:15 2015	1444160355	7	9	16	9
Tue Oct 06 15:39:15 2015	1444160355	5	11	16	11
Tue Oct 06 15:39:14 2015	1444160354	5	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	6	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	7	8	16	8
Tue Oct 06 15:39:15 2015	1444160355	6	10	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	6	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:15 2015	1444160355	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	6	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	8
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:15 2015	1444160355	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:15 2015	1444160355	6	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	16	10
Tue Oct 06 15:39:15 2015	1444160355	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	5	11	16	11
Tue Oct 06 15:39:15 2015	1444160355	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	6	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:15 2015	1444160355	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	6	11	16	11
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:15 2015	1444160355	6	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	6	11	16	11
Tue Oct 06 15:39:15 2015	1444160355	7	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:15 2015	1444160355	8	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	16	8
Tue Oct 06 15:39:14 2015	1444160354	7	10	16	10
Tue Oct 06 15:39:14 2015	1444160354	8	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	7	9	16	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	6	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	8	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	5	11	17	10
Tue Oct 06 15:39:15 2015	1444160355	7	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	9
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	8
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:15 2015	1444160355	6	11	17	11
Tue Oct 06 15:39:15 2015	1444160355	7	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:14 2015	1444160354	8	9	17	9
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	9
Tue Oct 06 15:39:15 2015	1444160355	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	6	11	17	11
Tue Oct 06 15:39:14 2015	1444160354	7	10	17	10
Tue Oct 06 15:39:14 2015	1444160354	9	8	17	8
Tue Oct 06 15:39:15 2015	1444160355	8	9	17	9
