Iteration, Response
0, 397
1, 390
2, 392
3, 395
4, 389
5, 365
6, 364
7, 366
8, 360
9, 1419
10, 443
11, 445
12, 447
13, 370
14, 360
15, 365
16, 358
17, 356
18, 1088
19, 614
20, 364
21, 359
22, 363
23, 361
24, 375
25, 441
26, 373
27, 377
28, 365
29, 366
30, 356
31, 376
32, 359
33, 358
34, 359
35, 371
36, 377
37, 374
38, 449
39, 371
40, 454
41, 456
42, 366
43, 372
44, 521
45, 362
46, 364
47, 363
48, 370
49, 360
50, 366
51, 359
52, 360
53, 379
54, 355
55, 360
56, 358
57, 358
58, 366
59, 387
60, 357
61, 357
62, 358
63, 358
64, 356
65, 362
66, 356
67, 360
68, 393
69, 386
70, 446
71, 447
72, 381
73, 363
74, 359
75, 408
76, 754
77, 357
78, 361
79, 361
80, 367
81, 360
82, 380
83, 376
84, 366
85, 371
86, 363
87, 389
88, 368
89, 374
90, 395
91, 376
92, 385
93, 372
94, 367
95, 362
96, 375
97, 383
98, 384
99, 370
100, 358
101, 358
102, 362
103, 359
104, 358
105, 355
106, 361
107, 355
108, 354
109, 402
110, 390
111, 373
112, 358
113, 358
114, 375
115, 367
116, 369
117, 375
118, 372
119, 371
120, 454
121, 371
122, 397
123, 364
124, 362
125, 453
126, 378
127, 379
128, 367
129, 368
130, 361
131, 452
132, 418
133, 374
134, 365
135, 368
136, 373
137, 1517
138, 455
139, 416
140, 369
141, 359
142, 381
143, 366
144, 367
145, 368
146, 503
147, 426
148, 427
149, 426
150, 421
151, 446
152, 421
153, 428
154, 399
155, 409
156, 412
157, 424
158, 405
159, 480
160, 499
161, 495
162, 506
163, 487
164, 458
165, 433
166, 406
167, 419
168, 411
169, 423
170, 408
171, 495
172, 492
173, 491
174, 475
175, 460
176, 392
177, 390
178, 397
179, 406
180, 404
181, 425
182, 390
183, 403
184, 399
185, 395
186, 482
187, 488
188, 484
189, 428
190, 387
191, 392
192, 388
193, 390
194, 392
195, 395
196, 386
197, 387
198, 389
199, 425
200, 393
201, 394
202, 394
203, 395
204, 390
205, 400
206, 468
207, 402
208, 399
209, 391
210, 394
211, 390
212, 393
213, 394
214, 395
215, 393
216, 395
217, 414
218, 400
219, 417
220, 416
221, 436
222, 501
223, 538
224, 537
225, 505
226, 549
227, 534
228, 494
229, 563
230, 480
231, 475
232, 476
233, 422
234, 433
235, 394
236, 396
237, 406
238, 385
239, 393
240, 455
241, 435
242, 494
243, 486
244, 481
245, 476
246, 467
247, 430
248, 402
249, 393
250, 478
251, 482
252, 481
253, 479
254, 396
255, 388
256, 391
257, 403
258, 389
259, 405
260, 386
261, 463
262, 478
263, 473
264, 408
265, 434
266, 475
267, 467
268, 465
269, 473
270, 475
271, 473
272, 467
273, 502
