Iteration, Response
0, 1242
1, 928
2, 1538
3, 1601
4, 1261
5, 1102
6, 1053
7, 886
8, 1010
9, 999
10, 1208
11, 985
12, 1190
13, 1248
14, 1043
15, 986
16, 1135
17, 1142
18, 1173
19, 1269
20, 1400
21, 1113
22, 1216
23, 952
24, 1192
25, 1285
26, 1010
27, 1096
28, 985
29, 1224
30, 1697
31, 1008
32, 1198
33, 1144
34, 1150
35, 1268
36, 1114
37, 860
38, 1082
39, 1367
40, 1138
41, 1194
42, 959
43, 1024
44, 1387
45, 975
46, 1112
47, 1544
48, 1073
49, 1104
50, 924
51, 1001
52, 875
53, 1648
54, 1254
55, 1075
56, 1114
57, 973
58, 1151
59, 1038
60, 1117
61, 1260
62, 1006
63, 1123
64, 1192
65, 1014
66, 1341
67, 1066
68, 1002
69, 1050
70, 1021
71, 924
72, 1263
73, 997
74, 1267
75, 1390
76, 1152
77, 1148
78, 1217
79, 1361
80, 1697
81, 1079
82, 872
83, 1368
84, 1125
85, 1148
86, 947
87, 1047
88, 1092
89, 1085
90, 1113
91, 1141
92, 1286
93, 1033
94, 1079
95, 1026
96, 1416
97, 1052
98, 1013
99, 1143
100, 1375
101, 1185
102, 1064
103, 1183
104, 1500
105, 1169
106, 1198
107, 1168
108, 1043
109, 1233
110, 1450
111, 1239
112, 1171
113, 877
114, 960
115, 1283
116, 1035
117, 1073
118, 1114
119, 1153
120, 1015
121, 1236
122, 1103
123, 1224
124, 1042
125, 1067
126, 1124
127, 1169
128, 1090
129, 1244
130, 1059
131, 1118
132, 1248
133, 1415
134, 1203
135, 1042
136, 1068
137, 1206
138, 1000
139, 1390
140, 1094
141, 1078
142, 1536
143, 1106
144, 1094
145, 1036
146, 992
147, 1046
148, 1389
149, 1333
150, 1179
151, 1039
152, 1071
153, 1020
154, 966
155, 1218
156, 988
157, 1135
158, 1260
159, 1213
160, 930
161, 1262
162, 1353
163, 924
164, 1194
165, 1329
166, 1070
167, 989
168, 1078
169, 950
170, 932
171, 1087
172, 1167
173, 1326
174, 976
175, 1062
176, 1046
177, 1053
178, 1119
179, 1090
180, 1012
181, 1186
182, 1299
183, 919
184, 1038
185, 1027
186, 893
187, 1285
188, 1288
189, 1114
190, 1851
191, 1098
192, 1019
193, 1050
194, 1224
195, 1153
196, 1087
197, 1187
198, 1244
199, 1201
200, 1230
201, 1243
202, 1831
203, 1116
204, 1311
205, 977
206, 1263
207, 1120
208, 1279
209, 1762
210, 1086
211, 1148
212, 1237
213, 1032
214, 998
215, 1006
216, 1220
217, 1450
218, 991
219, 1165
220, 1118
221, 1089
222, 1211
223, 1154
224, 832
225, 1081
226, 995
227, 1547
228, 1107
229, 900
230, 1670
231, 1567
232, 1275
233, 1242
234, 1270
235, 1083
236, 1528
237, 1046
238, 1037
239, 1045
240, 1036
241, 1171
242, 1309
243, 997
244, 1136
245, 1294
246, 1290
247, 1054
248, 1175
249, 1166
250, 904
251, 1332
252, 1251
253, 1676
254, 1044
255, 931
256, 1103
257, 992
258, 1482
259, 1527
260, 1138
261, 1212
262, 1328
263, 862
264, 947
265, 1825
266, 1205
267, 1145
268, 1008
269, 934
270, 978
271, 1303
272, 1213
273, 1107
274, 1176
275, 996
276, 1222
277, 1139
278, 1302
279, 1230
280, 1072
281, 1408
282, 1217
283, 1204
284, 1041
285, 1022
286, 1095
287, 968
288, 1319
289, 1188
290, 1515
291, 1146
292, 1113
293, 1071
294, 1207
295, 873
296, 988
297, 1210
298, 1208
299, 1114
300, 1056
301, 1112
302, 1120
303, 1091
304, 1141
305, 953
306, 1100
307, 1229
308, 1176
309, 1090
310, 1095
311, 1501
312, 1137
313, 1075
314, 1123
315, 899
316, 1098
317, 1118
318, 1120
319, 1056
320, 1405
321, 1141
322, 1376
323, 1003
324, 1075
325, 928
326, 1030
327, 1055
328, 1193
329, 1209
330, 1784
331, 1139
332, 1048
333, 1148
334, 1187
335, 938
336, 1065
337, 901
338, 1278
339, 1035
340, 1056
341, 1176
342, 1016
343, 1200
344, 894
345, 1047
346, 1156
347, 1211
348, 1128
349, 960
350, 932
351, 870
352, 1059
353, 1308
354, 1250
355, 1043
356, 1130
357, 1192
358, 1231
359, 1086
360, 1174
361, 1368
362, 1416
363, 1056
364, 991
365, 1171
366, 1101
367, 1106
368, 1068
369, 777
370, 1222
371, 989
372, 1153
373, 1125
374, 1743
375, 1133
376, 1064
377, 976
378, 1248
379, 1223
380, 1169
381, 1403
382, 1194
383, 1176
384, 935
385, 1428
386, 1129
387, 985
388, 990
389, 1209
390, 1008
391, 1024
392, 1008
393, 1237
394, 1148
395, 1087
396, 1073
397, 970
398, 1066
399, 941
400, 1072
401, 1561
402, 963
403, 1029
404, 1193
405, 1020
406, 1190
407, 1184
408, 968
409, 965
410, 1226
411, 1062
412, 1178
413, 1620
414, 944
415, 1228
